Dates,Percent,Comm_Cases,Cases,Comm_Deaths,Deaths,fully_Vacc
"Dec, 28 2020 - Jan, 3 2021",2.553347664,38146,974,424,15,
"Jan, 4 - 10 2021",2.29805726,39120,899,439,17,
"Jan, 11 - 17 2021",1.734176266,40019,694,456,9,
"Jan, 18 - 24 2021",1.586716774,40713,646,465,10,
"Jan, 25 - 31 2021",1.390265722,41359,575,475,3,
"Feb, 1 - 7 2021",1.564363047,41934,656,478,7,
"Feb, 8 - 14 2021",1.906550834,42590,812,485,3,
"Feb, 15 - 21 2021",1.974563384,43402,857,488,8,
"Feb, 22 - 28 2021",2.846878601,44259,1260,496,12,
"Mar, 1st - 7th 2021",4.813374635,45519,2191,508,16,
"Mar, 8th - 14th 2021",7.763571578,47710,3704,524,19,
"Mar, 15th - 21st 2021",8.130081301,51414,4180,543,16,
"Mar, 22nd -28th 2021",9.563981725,55594,5317,559,20,
"Mar, 29th - Apr, 4th 2021",7.862290883,60911,4789,579,28,
"Apr, 5th - 11th 2021",5.869101979,65700,3856,607,29,
"Apr, 12th - 18th 2021",4.924089942,69556,3425,636,24,
"Apr, 19th - 25th 2021",3.98870939,72981,2911,660,31,
"Apr, 26th - May 2nd 2021",2.74337216,75892,2082,691,17,
"May, 3rd - 9th 2021",1.473568112,77974,1149,708,23,
"May, 10th - 16th 2021",1.502723608,79123,1189,731,14,
"May, 17th - 23rd 2021",1.001095727,80312,804,745,12,
"May, 24th - 30th 2021",0.719956605,81116,584,757,8,
"May, 31st - Jun, 6th 2021",0.488372093,81700,399,765,6,
"Jun, 7th - 13th 2021",0.2984202,82099,245,771,4,
"Jun, 14th - 20th 2021",0.268386282,82344,221,775,1,1859
"Jun, 21st - 27th 2021",0.425119603,82565,351,776,3,
"Jun, 28th -  4th 2021",0.881615129,82916,731,779,4,
"Jul, 5th -  11th 2021",1.285162648,83647,1075,783,10,
"Jul, 12th -  18th 2021",1.248790161,84722,1058,793,10,
"Jul, 19th -  25th 2021",2.237118209,85780,1919,803,11,
"Jul, 26th - Aug, 1st 2021",3.197299855,87699,2804,814,17,
"Aug 2nd,  -  8th 2021",3.624189253,90503,3280,831,20,
"Aug, 9th -  15th 2021",2.395956623,93783,2247,851,10,
"Aug, 16th -  22nd 2021",2.82099344,96030,2709,861,12,
"Aug, 23rd -  29th 2021",2.044784736,98739,2019,873,14,
"Aug, 30th - Sep, 5th 2021",1.845014788,100758,1859,887,15,
"Sep, 6th -  12th 2021",1.458822612,102617,1497,902,3,
"Sep, 13th -  19th 2021",0.871160459,104114,907,905,10,
"Sep, 20th -  26th 2021",0.612258501,105021,643,915,12,
"Sep, 27th -  Oct, 3rd 2021",0.424931859,105664,449,927,4,
"Oct, 4th - 10th 2021",0.312874012,106113,332,931,6,
"Oct, 11th - 17th 2021",0.219831838,106445,234,937,1,
"Oct, 18th - 24th 2021",0.20341398,106679,217,938,2,
"Oct, 25th - 31st 2021",0.219839844,106896,235,940,4,
"Nov, 1st - 7th 2021",0.169885467,107131,182,944,4,
"Nov, 8th - 14th 2021",0.143505447,107313,154,948,4,
"Nov, 15th - 21st 2021",0.147952395,107467,159,952,0,
"Nov, 22nd - 28th 2021",0.242506458,107626,261,952,6,
"Nov, 29th - Dec, 5th 2021",0.213186019,107887,230,958,4,
"Dec, 6th - 12th 2021",0.131339197,108117,142,962,2,
"Dec, 13th - 19th 2021",0.17642875,108259,191,964,2,
"Dec, 20th - 26th 2021",0.248962656,108450,270,966,1,
"Dec, 27th 2021 - Jan, 2nd 2022",,108720,,967,,
,,,,,,
,,,,,,
